ID,host,created_at,lifecycle_stage,cluster
567bd83b-9510-4342-a951-4f2b7078e511,engagetab.citizenlab.co,2023-03-15 18:24:28 UTC,active,USW
20af1c4a-06fc-4045-acf7-a881a436cb53,engage.seattleparksandrec.com,2023-02-08 19:27:10 UTC,active,USW
f1fa8ece-0c96-4554-a4df-84b03af46b76,mashpee.citizenlab.co,2022-03-15 16:11:12 UTC,active,USW
f59db27b-f02f-4d1d-b28f-679323ce8964,my.cityofplattsburgh-ny.gov,2023-01-05 13:39:35 UTC,active,USW
23d4c63e-f1bc-41d6-a3dc-dbef82e61180,cityofmanor.citizenlab.co,2023-01-18 16:36:47 UTC,active,USW
6be624b4-39bb-4083-8bf5-a737eb817ecd,cushingforward.com,2023-03-10 14:46:54 UTC,active,USW
be903251-eed3-4bea-bf1f-ea06642561be,engagebothell.com,2023-02-19 23:11:22 UTC,active,USW
b3affdf2-dcb7-4b6e-adca-82c6aabab0db,usadvisor-demo.citizenlab.co,2023-11-07 22:05:20 UTC,not_applicable,USW
c455221a-8040-44d3-a21e-32e8b4c63cce,yreka.citizenlab.co,2023-04-30 21:13:39 UTC,active,USW
cd9a2fc0-c25e-4d63-b4c5-71a8ee7a429d,andrea.citizenlab.co,2023-03-21 16:39:15 UTC,demo,USW
a35d0232-3d85-4d42-a92e-701d085040af,rebuildtherec.org,2023-01-09 15:44:15 UTC,active,USW
7cc9d35e-b582-4bf9-8593-cd4bc0dab87a,sebi-usa.citizenlab.co,2023-10-26 15:13:15 UTC,not_applicable,USW
e0d13d54-d706-4d53-af85-2f6c48c4c2fe,stlouis.citizenlab.co,2023-07-17 22:31:52 UTC,active,USW
d728b815-23b5-4e9c-a3ea-8a03a23f46cb,emily.citizenlab.co,2023-07-27 15:26:06 UTC,demo,USW
00e7053a-1b8d-4b3f-a29a-e1bda68f59a4,losalamitos.citizenlab.co,2023-10-17 15:48:57 UTC,active,USW
ef97b128-03aa-4239-8385-fc8a0414eec9,boralex-demo.citizenlab.co,2021-10-11 00:48:19 UTC,demo,USW
01347544-1600-452f-86fa-2afe5780e508,northhaven-demo.citizenlab.co,2021-12-15 13:53:59 UTC,demo,USW
57610c31-dc67-4c91-afa2-1a0aefcb7723,psu-demo.citizenlab.co,2021-10-12 03:09:04 UTC,demo,USW
b0d9f0c2-dcf2-4442-aba2-1befc74c164f,lac.citizenlab.co,2023-10-05 17:32:18 UTC,active,USW
bb184daa-6509-4a59-9e49-96ade5a105c6,answerals.citizenlab.co,2022-07-20 15:16:54 UTC,active,USW
fe576642-4937-46bb-a55c-499148158b1c,engage.cityoflancasterpa.gov,2020-07-23 12:33:54 UTC,active,USW
d85bd17b-144e-4743-a410-6e049f446b2c,peoplestech.nyc,2021-08-03 13:02:15 UTC,active,USW
0cb33cd6-4690-4842-84ac-2b6c1b21136d,engage.chillicotheoh.gov,2022-06-14 16:50:05 UTC,active,USW
7afb0e8c-3f13-48ff-8be7-58572d1a7da4,corey.citizenlab.co,2022-03-17 08:38:03 UTC,demo,USW
6f9f840b-cb90-40cb-bee9-83e2cd7f6b8c,iheartmac.org,2022-08-10 20:12:04 UTC,active,USW
7e6149ac-e3f7-44d6-b26b-695f89e327a1,gprwc.citizenlab.co,2022-03-04 16:47:47 UTC,active,USW
77d604df-9ab1-476b-bcf8-a7506dcf189b,drumheller.citizenlab.co,2022-08-22 21:28:18 UTC,active,USW
326e1cec-37b1-4589-add3-bff312ac5b35,vallejo-demo.citizenlab.co,2021-09-20 22:22:43 UTC,demo,USW
464db1dc-8d0e-4b8d-b4f2-0b8011ea3e6e,futureconcordia.citizenlab.co,2022-09-29 16:42:21 UTC,active,USW
05efb601-034d-4428-b998-b7ca8df8a552,seattleparksrec.citizenlab.co,2022-11-29 19:51:57 UTC,active,USW
0a403d08-947e-4979-915e-3b6781d17ac4,engage.cityofallen.org,2023-04-05 18:03:14 UTC,active,USW
497e9f67-bcfc-4be7-bf46-d2f8c32c45b9,demo-cityoftoronto.citizenlab.co,2023-08-07 22:10:12 UTC,demo,USW
